original_index,rental_period_del,floor_del,not_lane_del,neighborhood,complex_name,city,district,address,district_del,city_del,rent,bedrooms,living-dining,bathrooms,loft,descript,sqmeters,entire_building,use_type,use_type_en,building_type,public_housing,detatched_lanehouse,attached_lanehouse,villa,type_not_listed,amenities,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven
1717,长租,*/6层,6层,陆家嘴,梅园三街坊,上海市,浦东区,梅园三街坊3号,浦东,上海,4840,1,1,1,0,"['地址', '梅园三街坊3号403室', '户型', '1', '1', '平米整租', '租金', '4840元', '地铁', '2', '4', '6号线世纪大道', '付款', '半年付送一个月年付送两个月', '电话', '158_2103_6532郑先生微信同号']",29,0,住宅,residential,新式里弄,0,0,1,0,0,"['空调', '独卫']",0,1,0,0,0,0,0,0
1424,长租,*/6层,6层,七宝,万兆家园,上海市,闵行区,七莘路2855号,闵行,上海,6100,3,2,1,0,"['欢迎挂牌', '付佣地址', '万兆家园', '2855号', '40号301室面积', '116', '63平方三室两厅报价', '8800元付款', '半年付7000元6109元看房', '郑先生']",116,0,住宅,residential,新式里弄,0,0,1,0,0,,0,0,0,0,0,0,0,0
1207,长租,*/6层,6层,曹家渡,万春街,上海市,静安区,万春街63弄33支弄3号,静安,上海,11800,1,2,1,0,"['新建14号地铁口', '曹家渡中心商圈']",65,0,住宅/工作室,multi-use,老公房,1,0,0,0,0,"['暖气', '空调', '独卫', '阳台']",1,1,1,0,0,0,0,0
1189,长租,*/6层,6层,中山公园,华秀小区,上海市,长宁区,万航渡路1424弄64号,长宁,上海,4300,1,0,1,0,"['房子是简约装修一室一厨一卫', '朝南', '家具家电齐全', '紧邻中山公园商圈', '地铁2', '3', '4号沿线中山公园站', '看房随时', '欢迎推荐']",42,0,住宅,residential,老公房,1,0,0,0,0,"['独卫', '空调',  '阳台']",0,1,1,0,0,0,0,0
3466,长租,*/6层,6层,中山公园,华阳公寓,上海市,长宁区,万航渡路1455号,长宁,上海,8000,2,1,1,0,"['包物业发票', '看房提前联系']",80,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
4224,长租,*/6层,6层,中山公园,华馨小区,上海市,长宁区,万航渡路1486弄,长宁,上海,7500,1,1,1,0,"['第一', '房子是中山公园地铁站', '号线', '走路需要十分钟的路程', '第二', '房子是原木色的装修', '带榻榻米', '复古墙壁', '首次出租', '基本能接受价位的都能看的中']",60,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
3602,长租,*/6层,6层,中山公园,华馨,上海市,长宁区,万航渡路1486弄25号,长宁,上海,11500,3,1,1,0,"['独门独户', '三室一厅带超大院子']",118,0,住宅,residential,老公房,1,0,0,0,0,['户外空间'],0,0,0,0,1,0,0,0
3467,长租,*/6层,6层,中山公园,华馨小区,上海市,长宁区,万航渡路1486弄2号,长宁,上海,5300,1,0,1,0,"['包物业', '发票', '看房提前联系']",35,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
439,长租,*/6层,6层,中山公园,,上海市,长宁区,万航渡路1486弄46号,长宁,上海,6900,2,1,1,0,,60,0,住宅/工作室,multi-use,老公房,1,0,0,0,0,['户外空间'],0,0,0,0,1,0,0,0
3629,长租,*/6层,6层,中山公园,华馨小区,上海市,长宁区,万航渡路1486弄6号,长宁,上海,5600,1,1,1,0,"['华馨小区', '一楼带天井', '首次出租', '随时看房']",50,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
4656,长租,*/6层,6层,中山公园,,上海市,长宁区,万航渡路1496号,长宁,上海,4500,1,1,1,0,"['全新装修', '距离中山公园地铁站5分钟']",42,0,住宅,residential,老公房,1,0,0,0,0,['户外空间'],0,0,0,0,1,0,0,0
3411,长租,*/6层,6层,静安寺,,上海市,静安区,万航渡路190号,静安,上海,5500,1,1,1,0,"['老公房六楼', '精装修', '看房方便', '租客转租的', '有客户提前电话']",40,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
2442,长租,*/6层,6层,中山公园,强家渡,上海市,长宁区,万航渡路2488弄2488号,长宁,上海,5000,1,1,1,0,"['地铁旁', '自住婚房装修', '全部进口家电', '中山公园商圈步行至龙之梦', '来福士', '地铁站五分钟内']",38,0,住宅,residential,老公房,1,0,0,0,0,['暖气'],1,0,0,0,0,0,0,0
2738,长租,*/6层,6层,中山公园,益健小区,上海市,长宁区,万航渡路2505弄62号,长宁,上海,6000,2,1,1,0,['更多房源可一起带看'],58,0,住宅,residential,老公房,1,0,0,0,0,"['空调',]",0,1,0,0,0,0,0,0
3120,长租,*/6层,6层,中山公园,益健小区,上海市,长宁区,万航渡路2505弄63号,长宁,上海,6000,2,1,1,0,"['益健小区3楼的', '全新装修全新配置', '小区中心位置楼层好', '太阳好装修好', '近中山公园地铁站', '一房朝南一房朝北', '长宁路小学后门口就是', '现在里面有租客的', '8月25号左右到期', '看房提前预约', '付中介费']",55,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
3691,长租,*/6层,6层,,嘉园,上海市,静安区,万航渡路458弄6号,静安,上海,15500,3,2,1,0,"['新出炉付佣金100', '嘉园', '3', '2', '1', '135', '15500元', '地址', '万航渡路458弄6号3F', '靠近地铁2号线7号线5分钟', '3个房间都好住人', '看房钥匙在嘉园万航渡路们对面链家', '或钥匙在延平路1号佶美房产', '更多房源请加微信', '手机', '朱祥五']",135,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
2899,长租,*/6层,6层,龙华,三江小区,上海市,徐汇区,三江路301弄61号,徐汇,上海,6300,1,1,1,0,,36,0,住宅,residential,老公房,1,0,0,0,0,"['空调', '独卫', '阳台']",0,1,1,0,0,0,0,0
